datetime,open,high,low,close,volumns
2021-11-11 00:00:00,4.841,5.03,4.795,4.924,59251161.3
2021-11-12 00:00:00,4.923,5.108,4.666,4.849,99781608.8
2021-11-13 00:00:00,4.85,5.073,4.797,5.011,47177039.1
2021-11-14 00:00:00,5.011,5.093,4.832,4.955,43445122
2021-11-15 00:00:00,4.956,5.1,4.761,4.81,55297554.2
2021-11-16 00:00:00,4.81,4.813,4.046,4.326,115698927
2021-11-17 00:00:00,4.327,4.413,4.17,4.368,68203257.3
2021-11-18 00:00:00,4.368,4.444,3.93,4.087,96318324.8
2021-11-19 00:00:00,4.087,4.319,4.047,4.287,63531272.6
2021-11-20 00:00:00,4.288,4.352,4.17,4.342,46144058.7
2021-11-21 00:00:00,4.343,4.385,4.23,4.244,38858075.5
2021-11-22 00:00:00,4.246,4.289,4.053,4.135,68595433.5
2021-11-23 00:00:00,4.136,4.255,4.054,4.235,54032204.9
2021-11-24 00:00:00,4.235,4.264,4.001,4.123,53134900.3
2021-11-25 00:00:00,4.122,4.318,4.097,4.256,46701440.7
2021-11-26 00:00:00,4.256,4.272,3.733,3.852,114886579.7
2021-11-27 00:00:00,3.852,3.977,3.832,3.896,44983003.6
2021-11-28 00:00:00,3.896,3.97,3.656,3.966,66305261.4
2021-11-29 00:00:00,3.966,4.045,3.902,4.004,47949803.1
2021-11-30 00:00:00,4.004,4.177,3.876,4.006,79586305.7
2021-12-01 00:00:00,4.006,4.119,3.932,3.992,49778772.1
2021-12-02 00:00:00,3.991,4.01,3.854,3.966,43904092.4
2021-12-03 00:00:00,3.966,4.172,3.642,3.791,87055948.4
2021-12-04 00:00:00,3.791,3.807,2.366,3.142,278999269.8
2021-12-05 00:00:00,3.143,3.188,2.852,3.03,111344239
2021-12-06 00:00:00,3.031,3.295,2.806,3.27,180006414.5
2021-12-07 00:00:00,3.27,3.331,3.169,3.22,80157051.3
2021-12-08 00:00:00,3.219,3.888,3.116,3.649,338817314.3
2021-12-09 00:00:00,3.648,3.713,3.206,3.218,169556580
2021-12-10 00:00:00,3.219,3.343,3.02,3.037,121378690.1
2021-12-11 00:00:00,3.036,3.567,2.982,3.412,244510388.2
2021-12-12 00:00:00,3.411,3.511,3.234,3.331,108710433.3
2021-12-13 00:00:00,3.33,3.396,3.005,3.091,151404306.9
2021-12-14 00:00:00,3.092,3.429,3.042,3.35,240347614
2021-12-15 00:00:00,3.351,3.496,3.133,3.362,152862010.3
2021-12-16 00:00:00,3.362,3.4,3.19,3.209,87101420.6
2021-12-17 00:00:00,3.209,3.267,3.051,3.15,85581590
2021-12-18 00:00:00,3.151,3.309,3.107,3.24,56460108.4
2021-12-19 00:00:00,3.24,3.306,3.172,3.187,59808196.2
2021-12-20 00:00:00,3.187,3.339,3.088,3.187,102881786.6
2021-12-21 00:00:00,3.187,3.36,3.171,3.311,81253820.1
2021-12-22 00:00:00,3.311,3.43,3.282,3.349,65705041.4
2021-12-23 00:00:00,3.348,3.53,3.303,3.5,69670987.9
2021-12-24 00:00:00,3.501,3.52,3.351,3.378,52571376.9
2021-12-25 00:00:00,3.378,3.448,3.354,3.408,40094551.1
2021-12-26 00:00:00,3.407,3.415,3.31,3.393,43320130.9
2021-12-27 00:00:00,3.394,3.499,3.368,3.391,52228625.6
2021-12-28 00:00:00,3.391,3.392,3.101,3.127,77245826.8
2021-12-29 00:00:00,3.128,3.218,3.003,3.027,70912841.7
2021-12-30 00:00:00,3.027,3.115,2.956,3.076,53487599.7
2021-12-31 00:00:00,3.075,3.15,2.972,3.032,54246240.1
2022-01-01 00:00:00,3.033,3.16,3.032,3.158,32792996.4
2022-01-02 00:00:00,3.157,3.276,3.131,3.252,54031201.2
